name, fullname
MLCAD, ACM/IEEE Workshop on Machine Learning for CAD
FPGA, INTERNATIONAL SYMPOSIUM ON FIELD-PROGRAMMABLE GATE ARRAYS
VLSI-DAT, International Symposium on VLSI Design, Automation and Test
ISCA, International Symposium on Computer Architecture
OFC, Optical Fiber Communication Conference and Exhibition
ISCAS, IEEE International Symposium on Circuits and Systems
ISPD, International Symposium on Physical Design (ISPD) 
DATE, Design, Automation & Test in Europe Conference & Exhibition (DATE)
ISSCC, IEEE International Solid-State Circuits Conference 
LASCAS, IEEE Latin American Symposium on Circuits and Systems
NorCAS, IEEE Nordic Circuits and Systems Conference 
ACP, Asia Communications and Photonics Conference
ASP-DAC, Asia and South Pacific Design Automation Conference
ISOCC, IEEE International SoC Conference 
ICECS, IEEE International Conference on Electronics Circuits and Systems
ICCD, IEEE International Conference on Computer Design
A-SSCC, IEEE Asian Solid-State Circuits Conference
VLSI-SoC, IFIP/IEEE International Conference on Very Large Scale Integration
ICCAD, IEEE/ACM International Conference on Computer-Aided Design
ECOC, European Conference and Exhibition on Optical Communication
Asilomar Conf, Asilomar Conference on Signals, Systems and Computers
MICRO, International Symposium on Microarchitecture
Euromicro DSD, Euromicro Conference Series on Digital System Design
ARITH, Euromicro Conference Series on Digital System Design
ESSCIRC, IEEE European Solid-State Device Research Conference
SoCC, ACM Symposium on Cloud Computing
ESWeek, Embedded Systems Week
SAMOS, International Conference on Embedded Computer Systems: Architectures, Modeling and Simulation 
SPPCom, Signal Processing in Photonic Communications
ISLPED, ACM/IEEE International Symposium on Low Power Electronics and Design
ISVLSI, IEEE Computer Society Annual Symposium on VLSI
ASAP, IEEE International Conference on Application-specific Systems, Architectures and Processors
COOL Chips, IEEE Symposium on Low-Power and High-Speed Chips and Systems
GLSVLSI, Great Lakes Symposium on VLSI
Symp VLSI Circuits, Symposium on VLSI Technology and Circuits
CF, ACM International Conference on Computing Frontiers
ISQED, International Symposium on Quality Electronic Design
DAC, Design Automation Conference
CICC, IEEE Custom Integrated Circuits Conference
VTS, IEEE VLSI Test Symposium
VLSI-TSA-DAT, International VLSI Symposium on Technology, Systems and Applications
SiPS, IEEE Workshop on Signal Processing Systems
